tokens	labels1	labels2
Jiyin	5	1
(	6	0
Dingtao	6	5
County	6	6
,	6	6
Shandong	6	6
)	6	0
# New sentence = Samuel Jordan Kirkwood , Iowa	0	
Samuel	1	1
Jordan	2	2
Kirkwood	2	2
,	0	0
Iowa	5	5
# New sentence = Israel Isidor Elyashev	0	
Israel	1	1
Isidor	2	2
Elyashev	2	2
# New sentence = Gerald Wallace ( 11 )	0	
Gerald	1	1
Wallace	2	2
(	0	0
11	0	0
)	0	0
# New sentence = • Kljaji?evo ( 6012 )	0	
•	0	0
Kljaji?evo	5	5
(	0	0
6012	0	0
)	0	0
# New sentence = He attended St. Bernard High School ( Los Angeles , California ) , before transferring to Beverly Hills High School in Beverly Hills , California .	0	
He	0	0
attended	0	0
St.	3	3
Bernard	4	4
High	4	4
School	4	4
(	0	0
Los	5	5
Angeles	6	6
,	6	0
California	6	5
)	0	0
,	0	0
before	0	0
transferring	0	0
to	0	0
Beverly	3	3
Hills	4	4
High	4	4
School	4	4
in	0	0
Beverly	5	5
Hills	6	6
,	6	0
California	6	5
.	0	0
# New sentence = The Guardian ( TV series )	0	
The	0	0
Guardian	0	0
(	0	0
TV	0	0
series	0	0
)	0	0
# New sentence = Ellesmere Port Dock	0	
Ellesmere	5	5
Port	6	6
Dock	6	6
# New sentence = The first protest was one of the largest that Turkey had seen in years until then .	0	
The	0	0
first	0	0
protest	0	0
was	0	0
one	0	0
of	0	0
the	0	0
largest	0	0
that	0	0
Turkey	5	5
had	0	0
seen	0	0
in	0	0
years	0	0
until	0	0
then	0	0
.	0	0
# New sentence = Sekolah Berasrama Penuh Integrasi Gombak ( InteGomb ) , Selangor	0	
Sekolah	3	5
Berasrama	4	6
Penuh	4	6
Integrasi	4	6
Gombak	4	6
(	4	6
InteGomb	4	6
)	4	6
,	0	0
Selangor	5	5
# New sentence = Ananda Lewis – correspondent ( 2004–2005 )	0	
Ananda	1	1
Lewis	2	2
–	0	0
correspondent	0	0
(	0	0
2004–2005	0	0
)	0	0
# New sentence = Miss World 2006 - Unplaced	0	
Miss	0	0
World	0	0
2006	0	0
-	0	0
Unplaced	0	0
# New sentence = ** Pascal-Firmin Ndimira .	0	
**	0	0
Pascal-Firmin	1	1
Ndimira	2	2
.	0	0
# New sentence = He was born in Springfield , Massachusetts .	0	
He	0	0
was	0	0
born	0	0
in	0	0
Springfield	5	5
,	6	0
Massachusetts	6	5
.	0	0
# New sentence = Carole Bouquet , Philippe Noiret , Josiane Balasko , Marie-Anne Chazel , Christian Clavier ...	0	
Carole	1	1
Bouquet	2	2
,	0	0
Philippe	1	1
Noiret	2	2
,	0	0
Josiane	1	1
Balasko	2	2
,	0	0
Marie-Anne	1	1
Chazel	2	2
,	0	0
Christian	1	1
Clavier	2	2
...	0	0
# New sentence = FCF Como 2000	0	
FCF	3	3
Como	4	4
2000	4	4
# New sentence = ( From bottom left to bottom right ) Michael Fishman as D.J .	0	
(	0	0
From	0	0
bottom	0	0
left	0	0
to	0	0
bottom	0	0
right	0	0
)	0	0
Michael	1	1
Fishman	2	2
as	0	0
D.J	0	0
.	0	0
# New sentence = He was buried at Arlington National Cemetery .	0	
He	0	0
was	0	0
buried	0	0
at	0	0
Arlington	5	5
National	6	6
Cemetery	6	6
.	0	0
# New sentence = ' '' Kumiko Iijima Yurika Sema '' ' 6–4 6–1	0	
'	0	0
''	0	0
Kumiko	1	1
Iijima	2	2
Yurika	1	1
Sema	2	2
''	0	0
'	0	0
6–4	0	0
6–1	0	0
# New sentence = Speaker of the House of Representatives : Champ Clark ( D )	0	
Speaker	0	0
of	0	0
the	0	0
House	3	3
of	4	4
Representatives	4	4
:	0	0
Champ	1	1
Clark	2	2
(	0	0
D	0	3
)	0	0
# New sentence = ' '' ' '' - Sanja Papi?	0	
'	0	0
''	0	0
'	0	0
''	0	0
-	0	0
Sanja	1	1
Papi?	2	2
# New sentence = He studied in Bapatla Engineering College .	0	
He	0	0
studied	0	0
in	0	0
Bapatla	3	3
Engineering	4	4
College	4	4
.	0	0
# New sentence = Kosarzyn , Greater Poland Voivodeship	0	
Kosarzyn	5	5
,	6	0
Greater	6	5
Poland	6	6
Voivodeship	0	6
# New sentence = From 1904 onwards Charlie Chaplin trod the boards as a teenager .	0	
From	0	0
1904	0	0
onwards	0	0
Charlie	1	1
Chaplin	2	2
trod	0	0
the	0	0
boards	0	0
as	0	0
a	0	0
teenager	0	0
.	0	0
# New sentence = '' Euptera falcata '' Libert , 1998	0	
''	0	0
Euptera	0	0
falcata	0	0
''	0	0
Libert	0	1
,	0	0
1998	0	0
# New sentence = National and Local Government Officers ' Association	0	
National	3	3
and	4	4
Local	4	4
Government	4	4
Officers	4	4
'	4	4
Association	4	4
# New sentence = Sir Philip Carteret , 2nd Baronet	0	
Sir	0	1
Philip	1	2
Carteret	2	2
,	0	0
2nd	0	0
Baronet	0	0
# New sentence = Barice , Stari Grad	0	
Barice	5	5
,	6	6
Stari	6	6
Grad	6	6
# New sentence = '' OVO '' ( 2000 )	0	
''	0	0
OVO	0	0
''	0	0
(	0	0
2000	0	0
)	0	0
# New sentence = Donald W. Reynolds	0	
Donald	1	1
W.	2	2
Reynolds	2	2
# New sentence = It is found in Europe .	0	
It	0	0
is	0	0
found	0	0
in	0	0
Europe	0	5
.	0	0
# New sentence = *Assistant Manager : Lee Nogan	0	
*Assistant	0	0
Manager	0	0
:	0	0
Lee	1	1
Nogan	2	2
# New sentence = ' '' John McEnroe '' ' defeated Sandy Mayer 6–7 , 6–3 , 6–3	0	
'	0	0
''	0	0
John	1	1
McEnroe	2	2
''	0	0
'	0	0
defeated	0	0
Sandy	1	1
Mayer	2	2
6–7	0	0
,	0	0
6–3	0	0
,	0	0
6–3	0	0
# New sentence = Years later , this approach would be labeled as `` Hot adult contemporary .	0	
Years	0	0
later	0	0
,	0	0
this	0	0
approach	0	0
would	0	0
be	0	0
labeled	0	0
as	0	0
``	0	0
Hot	0	0
adult	0	0
contemporary	0	0
.	0	0
# New sentence = Siemionki , Kuyavian-Pomeranian Voivodeship	0	
Siemionki	5	5
,	6	0
Kuyavian-Pomeranian	6	5
Voivodeship	6	6
# New sentence = One exists at Jiangyin , Jiangsu Province , China .	0	
One	0	0
exists	0	0
at	0	0
Jiangyin	5	5
,	6	0
Jiangsu	6	5
Province	6	6
,	6	0
China	6	5
.	0	0
# New sentence = '' Tinik Sa Dibdib '' ( 1985 )	0	
''	0	0
Tinik	0	0
Sa	0	0
Dibdib	0	0
''	0	0
(	0	0
1985	0	0
)	0	0
# New sentence = It was written by Miracles lead singer Smokey Robinson , who also was the song’s producer , and the group’s main guitarist , Cornelius Grant .	0	
It	0	0
was	0	0
written	0	0
by	0	0
Miracles	3	3
lead	0	0
singer	0	0
Smokey	1	1
Robinson	2	2
,	0	0
who	0	0
also	0	0
was	0	0
the	0	0
song’s	0	0
producer	0	0
,	0	0
and	0	0
the	0	0
group’s	0	0
main	0	0
guitarist	0	0
,	0	0
Cornelius	1	1
Grant	2	2
.	0	0
# New sentence = It is known from Laos .	0	
It	0	0
is	0	0
known	0	0
from	0	0
Laos	5	5
.	0	0
# New sentence = William Hay ( Australian politician ) ( 1816–1908 )	0	
William	1	1
Hay	2	2
(	0	0
Australian	0	0
politician	0	0
)	0	0
(	0	0
1816–1908	0	0
)	0	0
# New sentence = Premier of Ontario - Bill Davis then Frank Miller then David Peterson	0	
Premier	0	0
of	0	0
Ontario	0	5
-	0	0
Bill	1	1
Davis	2	2
then	0	0
Frank	1	1
Miller	2	2
then	0	0
David	1	1
Peterson	2	2
# New sentence = Harrison Township , Miami County ( northeast )	0	
Harrison	5	5
Township	6	6
,	6	0
Miami	6	5
County	6	6
(	6	0
northeast	6	0
)	6	0
# New sentence = Horacio Rivero , Jr .	0	
Horacio	1	1
Rivero	2	2
,	2	2
Jr	2	2
.	0	0
# New sentence = National Highway 24B ( India )	0	
National	5	5
Highway	6	6
24B	6	6
(	6	6
India	6	6
)	6	6
# New sentence = Les Aventures du roi Pausole '' ( 1933 )	0	
Les	0	0
Aventures	0	0
du	0	0
roi	0	0
Pausole	0	0
''	0	0
(	0	0
1933	0	0
)	0	0
# New sentence = He was born at Glasgow on 8 March 1824 .	0	
He	0	0
was	0	0
born	0	0
at	0	0
Glasgow	5	5
on	0	0
8	0	0
March	0	0
1824	0	0
.	0	0
# New sentence = A Man Called `` Bee '' : Studying the Yanomamo , 1975	0	
A	0	0
Man	0	0
Called	0	0
``	0	0
Bee	1	1
''	0	0
:	0	0
Studying	0	0
the	0	0
Yanomamo	3	3
,	0	0
1975	0	0
# New sentence = Bankhaus Reuschel & Co . , Munich	0	
Bankhaus	3	3
Reuschel	4	4
&	4	4
Co	4	4
.	0	0
,	0	0
Munich	5	5
# New sentence = In 2010 he was appointed to replace Sen. Fred Jarrett .	0	
In	0	0
2010	0	0
he	0	0
was	0	0
appointed	0	0
to	0	0
replace	0	0
Sen.	1	1
Fred	2	2
Jarrett	2	2
.	0	0
# New sentence = Carychium tridentatum '' ( Risso , 1826 )	0	
Carychium	0	0
tridentatum	0	0
''	0	0
(	0	0
Risso	1	1
,	0	0
1826	0	0
)	0	0
# New sentence = Poalei Agudat Yisrael : 2	0	
Poalei	3	3
Agudat	4	4
Yisrael	4	4
:	0	0
2	0	0
# New sentence = Vera Coking , a real-estate holdout in Atlantic City , New Jersey	0	
Vera	3	1
Coking	4	2
,	0	0
a	0	0
real-estate	0	0
holdout	0	0
in	0	0
Atlantic	5	5
City	6	6
,	6	0
New	6	5
Jersey	6	6
# New sentence = ''Begonias '' ( with Caitlin Cary )	0	
''Begonias	0	0
''	0	0
(	0	0
with	0	0
Caitlin	0	1
Cary	0	2
)	0	0
# New sentence = `` Galveston '' ( Jimmy Webb ) - 2:40	0	
``	0	0
Galveston	0	0
''	0	0
(	0	0
Jimmy	1	1
Webb	2	2
)	0	0
-	0	0
0,111111111	0	0
# New sentence = Exene Cervenka ( 1996 )	0	
Exene	1	1
Cervenka	2	2
(	0	0
1996	0	0
)	0	0
# New sentence = ' '' Wicres '' '	0	
'	0	0
''	0	0
Wicres	5	5
''	0	0
'	0	0
# New sentence = List of Google easter eggs	0	
List	0	0
of	0	0
Google	3	3
easter	0	0
eggs	0	0
# New sentence = Chalk Farm Salvation Army Band	0	
Chalk	3	0
Farm	4	0
Salvation	4	3
Army	4	4
Band	4	0
# New sentence = Mitt Romney 52 % - Barack Obama 48 %	0	
Mitt	1	1
Romney	2	2
52	0	0
%	0	0
-	0	0
Barack	1	1
Obama	2	2
48	0	0
%	0	0
# New sentence = Murder of Nubia Barahona	0	
Murder	0	0
of	0	0
Nubia	1	1
Barahona	2	2
# New sentence = The remixes were made by Shep Pettibone .	0	
The	0	0
remixes	0	0
were	0	0
made	0	0
by	0	0
Shep	1	1
Pettibone	2	2
.	0	0
# New sentence = Abe Hartley – 1897	0	
Abe	1	1
Hartley	2	2
–	0	0
1897	0	0
# New sentence = ' '' Piet Norval '' ' ' '' Kevin Ullyett '' '7–5 , 6–3	0	
'	0	0
''	0	0
Piet	1	1
Norval	2	2
''	0	0
'	0	0
'	0	0
''	0	0
Kevin	1	1
Ullyett	2	2
''	0	0
'7–5	0	0
,	0	0
6–3	0	0
# New sentence = Summer Jam ( song )	0	
Summer	0	0
Jam	0	0
(	0	0
song	0	0
)	0	0
# New sentence = Kubra , Najmeddin ( 1145–1220 )	0	
Kubra	5	1
,	6	2
Najmeddin	6	2
(	0	0
1145–1220	0	0
)	0	0
# New sentence = '' Have a Good Time for Me '' - Jonathan Edwards	0	
''	0	0
Have	0	0
a	0	0
Good	0	0
Time	0	0
for	0	0
Me	0	0
''	0	0
-	0	0
Jonathan	1	1
Edwards	2	2
# New sentence = ''Claytonia caroliniana '' var. ''caroliniana '' ( N )	0	
''Claytonia	0	0
caroliniana	0	0
''	0	0
var.	0	0
''caroliniana	0	0
''	0	0
(	0	0
N	0	0
)	0	0
# New sentence = Shine : The Best of Annie Crummer	0	
Shine	0	0
:	0	0
The	0	0
Best	0	0
of	0	0
Annie	1	1
Crummer	2	2
# New sentence = ' '' With Carmen McRae '' '	0	
'	0	0
''	0	0
With	0	0
Carmen	1	1
McRae	2	2
''	0	0
'	0	0
# New sentence = 1906–07 Primera Fuerza season	0	
1906–07	0	0
Primera	3	3
Fuerza	4	4
season	0	0
# New sentence = Family Fortunes '' ( 2012–present )	0	
Family	0	0
Fortunes	1	0
''	0	0
(	0	0
2012–present	0	0
)	0	0
# New sentence = Covenant of the Goddess	0	
Covenant	3	3
of	4	4
the	4	4
Goddess	4	4
# New sentence = Noel Howlett - Lawyer	0	
Noel	1	1
Howlett	2	2
-	0	0
Lawyer	0	0
# New sentence = *Doubles : Wayne Ferreira / Yevgeny Kafelnikov defeated Paul Haarhuis / Sandon Stolle , 6–3 , 2–6 , 6–1	0	
*Doubles	0	0
:	0	0
Wayne	1	1
Ferreira	2	2
/	0	0
Yevgeny	1	1
Kafelnikov	2	2
defeated	0	0
Paul	1	1
Haarhuis	2	2
/	0	0
Sandon	1	1
Stolle	2	2
,	0	0
6–3	0	0
,	0	0
2–6	0	0
,	0	0
6–1	0	0
# New sentence = ''Legacy '' ( The Temptations album ) , 2004	0	
''Legacy	0	0
''	0	0
(	0	0
The	3	3
Temptations	4	4
album	0	0
)	0	0
,	0	0
2004	0	0
# New sentence = Schram City , Illinois – $ 16,994	0	
Schram	5	5
City	6	6
,	6	0
Illinois	6	5
–	0	0
$	0	0
16,994	0	0
# New sentence = who is usually associated with Caernarvonshire .	0	
who	0	0
is	0	0
usually	0	0
associated	0	0
with	0	0
Caernarvonshire	5	5
.	0	0
# New sentence = '' These Days '' ( 1995 )	0	
''	0	0
These	0	0
Days	0	0
''	0	0
(	0	0
1995	0	0
)	0	0
# New sentence = Turtle Rock Studios	0	
Turtle	3	3
Rock	4	4
Studios	4	4
# New sentence = Step Into the Dark ''	0	
Step	0	0
Into	0	0
the	0	0
Dark	0	0
''	0	0
# New sentence = Mossel Bay Local Municipality	0	
Mossel	5	3
Bay	6	4
Local	6	4
Municipality	6	4
# New sentence = DHS Management Directorate	0	
DHS	3	3
Management	4	0
Directorate	4	0
# New sentence = Heidkopf ( Wiehen Hills )	0	
Heidkopf	5	5
(	6	6
Wiehen	6	6
Hills	6	6
)	6	6
# New sentence = ' '' Nikola Mekti? '' ' ' '' Antonio Vei? '' '	0	
'	0	0
''	0	0
Nikola	1	1
Mekti?	2	2
''	0	0
'	0	0
'	0	0
''	0	0
Antonio	1	1
Vei?	2	2
''	0	0
'	0	0
# New sentence = ** Vietnam during the Second World War	0	
**	0	0
Vietnam	5	5
during	0	0
the	0	0
Second	0	0
World	0	0
War	0	0
# New sentence = `` Beauty and a Beat '' ( JD4 )	0	
``	0	0
Beauty	0	0
and	0	0
a	0	0
Beat	0	0
''	0	0
(	0	0
JD4	0	0
)	0	0
# New sentence = F.C. Kibi International University Charme	0	
F.C.	3	3
Kibi	4	4
International	4	4
University	4	4
Charme	4	4
# New sentence = Shearon Harris Nuclear Power Plant in New Hill	0	
Shearon	3	5
Harris	4	6
Nuclear	4	6
Power	4	6
Plant	4	6
in	0	0
New	5	5
Hill	6	6
# New sentence = ' '' Tim Worrell '' ' ( 2–2 )	0	
'	0	0
''	0	0
Tim	1	1
Worrell	2	2
''	0	0
'	0	0
(	0	0
2–2	0	0
)	0	0
# New sentence = National Register of Historic Places listings in Southampton County , Virginia	0	
National	0	0
Register	0	0
of	0	0
Historic	0	0
Places	0	0
listings	0	0
in	0	0
Southampton	5	5
County	6	6
,	0	0
Virginia	5	5
# New sentence = She retired at age 41 to Mackinac Island .	0	
She	0	0
retired	0	0
at	0	0
age	0	0
41	0	0
to	0	0
Mackinac	5	5
Island	6	6
.	0	0
# New sentence = Fort Dodge ( United States Army Post )	0	
Fort	5	5
Dodge	6	6
(	0	0
United	3	3
States	4	4
Army	4	4
Post	4	0
)	0	0
# New sentence = Anders Oechsler ( REtires )	0	
Anders	1	1
Oechsler	2	2
(	0	0
REtires	0	0
)	0	0
# New sentence = Santa Fe Depot ( San Diego )	0	
Santa	3	5
Fe	4	6
Depot	4	6
(	0	6
San	5	6
Diego	6	6
)	0	6
# New sentence = Pierson , Illinois	0	
Pierson	5	5
,	0	0
Illinois	5	5
# New sentence = ''WEC 21 '' 's main event was a fight between Rob McCullough and Ryan Healy .		
''WEC	3	0
21	4	0
''	0	0
's	0	0
main	0	0
event	0	0
was	0	0
a	0	0
fight	0	0
between	0	0
Rob	1	1
McCullough	2	2
and	0	0
Ryan	1	1
Healy	2	2
.	0	0
# New sentence = Ripley , Mississippi	0	
Ripley	5	5
,	0	6
Mississippi	5	6
# New sentence = Its last assignment was with the 1st Missile Division , based at Redstone Arsenal .	0	
Its	0	0
last	0	0
assignment	0	0
was	0	0
with	0	0
the	0	0
1st	3	3
Missile	4	4
Division	4	4
,	0	0
based	0	0
at	0	0
Redstone	5	5
Arsenal	6	6
.	0	0
# New sentence = Adel Taarabt – Tottenham Hotspur , Queens Park Rangers , Fulham – 2006–09 , 2011–15	0	
Adel	1	1
Taarabt	2	2
–	0	0
Tottenham	3	3
Hotspur	4	4
,	0	0
Queens	3	3
Park	4	4
Rangers	4	4
,	0	0
Fulham	3	3
–	0	0
2006–09	0	0
,	0	0
2011–15	0	0
# New sentence = De Witte Holevoet , Scherpenzeel .	0	
De	3	5
Witte	4	6
Holevoet	4	6
,	0	6
Scherpenzeel	5	6
.	0	0
# New sentence = Thady Wyndham-Quin , 7th Earl of Dunraven and Mount-Earl	0	
Thady	1	1
Wyndham-Quin	2	2
,	2	2
7th	2	2
Earl	2	2
of	2	2
Dunraven	2	2
and	2	0
Mount-Earl	2	0
# New sentence = It was ultimately acquired by ConAgra Foods .	0	
It	0	0
was	0	0
ultimately	0	0
acquired	0	0
by	0	0
ConAgra	3	3
Foods	4	4
.	0	0
# New sentence = Islamic State of Iraq	0	
Islamic	3	3
State	4	4
of	4	4
Iraq	4	4
# New sentence = The Hourly Radio	0	
The	3	0
Hourly	4	0
Radio	4	0
# New sentence = Mount Olive , Virginia	0	
Mount	5	5
Olive	6	6
,	0	0
Virginia	5	5
# New sentence = T-ran currently operates and resides in Nashville , Tennessee .	0	
T-ran	1	1
currently	0	0
operates	0	0
and	0	0
resides	0	0
in	0	0
Nashville	5	5
,	0	6
Tennessee	5	6
.	0	0
# New sentence = Marcello Mastroianni , Virna Lisi	0	
Marcello	1	1
Mastroianni	2	2
,	0	0
Virna	1	1
Lisi	2	2
# New sentence = Kalyan Kumar , B. Sarojadevi , Ambarish , Jayamalini	0	
Kalyan	1	1
Kumar	2	2
,	0	0
B.	1	1
Sarojadevi	2	2
,	0	0
Ambarish	1	1
,	0	0
Jayamalini	1	1
# New sentence = Lunenburg , Vermont	0	
Lunenburg	1	5
,	0	6
Vermont	1	6
# New sentence = Christina of Norway	0	
Christina	1	1
of	2	2
Norway	2	2
# New sentence = American Association : Lincoln Saltdogs	0	
American	0	0
Association	0	0
:	0	0
Lincoln	3	3
Saltdogs	4	4
# New sentence = He performed in the companies of Rosalind Newman and Matthew Diamond , and began working as a choreographer in 1982 .	0	
He	0	0
performed	0	0
in	0	0
the	0	0
companies	0	0
of	0	0
Rosalind	1	1
Newman	2	2
and	0	0
Matthew	1	1
Diamond	2	2
,	0	0
and	0	0
began	0	0
working	0	0
as	0	0
a	0	0
choreographer	0	0
in	0	0
1982	0	0
.	0	0
# New sentence = 2005 - Telemanías - Teleocho - Córdoba , Argentina	0	
2005	0	0
-	0	0
Telemanías	0	0
-	0	0
Teleocho	0	0
-	0	0
Córdoba	0	5
,	0	6
Argentina	5	6
# New sentence = California State Polytechnic University , Pomona	0	
California	3	5
State	4	6
Polytechnic	4	6
University	4	6
,	0	6
Pomona	4	6
# New sentence = Heathmont railway station	0	
Heathmont	5	5
railway	6	6
station	6	6
# New sentence = Humcha , Karnataka 1947	0	
Humcha	5	5
,	0	0
Karnataka	5	5
1947	0	0
# New sentence = Franz Klammer ( 3 )	0	
Franz	1	1
Klammer	2	2
(	0	0
3	0	0
)	0	0
# New sentence = *2 May 1829 : George Bankes	0	
*2	0	0
May	0	0
1829	0	0
:	0	0
George	1	1
Bankes	2	2
# New sentence = ' '' Simon Delaney '' '	0	
'	0	0
''	0	0
Simon	1	1
Delaney	2	2
''	0	0
'	0	0
# New sentence = 1971 Montreal Expos season	0	
1971	0	0
Montreal	3	3
Expos	4	4
season	0	0
# New sentence = Mike O'Brien ( Michigan politician )	0	
Mike	1	1
O'Brien	2	2
(	0	0
Michigan	0	5
politician	0	0
)	0	0
# New sentence = It was released on June 25 , 2013 under Epitaph Records .	0	
It	0	0
was	0	0
released	0	0
on	0	0
June	0	0
25	0	0
,	0	0
2013	0	0
under	0	0
Epitaph	3	3
Records	4	4
.	0	0
# New sentence = Augustus H. Tulk	0	
Augustus	1	1
H.	2	2
Tulk	2	2
# New sentence = Karl Ludvigsen , editor of Car and Driver '' , Motor Trend '' ( born in Kalamazoo )	0	
Karl	1	1
Ludvigsen	2	2
,	0	0
editor	0	0
of	0	0
Car	3	3
and	4	4
Driver	4	4
''	0	0
,	0	0
Motor	3	3
Trend	4	4
''	0	0
(	0	0
born	0	0
in	0	0
Kalamazoo	5	5
)	0	0
# New sentence = Oomph ! - Wunschkind ''	0	
Oomph	3	3
!	4	4
-	0	0
Wunschkind	0	0
''	0	0
# New sentence = In 1975 under pressure from the Holy See , he resigned from active religious duty .	0	
In	0	0
1975	0	0
under	0	0
pressure	0	0
from	0	0
the	0	0
Holy	3	3
See	4	4
,	0	0
he	0	0
resigned	0	0
from	0	0
active	0	0
religious	0	0
duty	0	0
.	0	0
# New sentence = ' '' Sergio Roitman '' '7–6 ( 5 ) , 6–4	0	
'	0	0
''	0	0
Sergio	1	1
Roitman	2	2
''	0	0
'7–6	0	0
(	0	0
5	0	0
)	0	0
,	0	0
6–4	0	0
# New sentence = Sacred Grove ( Latter Day Saint movement )	0	
Sacred	3	5
Grove	4	6
(	0	0
Latter	3	3
Day	4	4
Saint	4	4
movement	4	4
)	0	0
# New sentence = A recording of part of one episode is known to exist at the Paley Center for Media .	0	
A	0	0
recording	0	0
of	0	0
part	0	0
of	0	0
one	0	0
episode	0	0
is	0	0
known	0	0
to	0	0
exist	0	0
at	0	0
the	0	0
Paley	3	5
Center	4	6
for	4	6
Media	4	6
.	0	0
# New sentence = Arthur Lawson Johnston , 3rd Baron Luke	0	
Arthur	1	1
Lawson	2	2
Johnston	2	2
,	0	0
3rd	0	0
Baron	0	0
Luke	0	0
# New sentence = Mr?gowo - Ka??czyn - Szczytno	0	
Mr?gowo	5	5
-	0	0
Ka??czyn	5	5
-	0	0
Szczytno	5	5
# New sentence = Jake Goldsbie as Toby Isaacs ( 12 episodes )	0	
Jake	1	1
Goldsbie	2	2
as	0	0
Toby	1	1
Isaacs	2	2
(	0	0
12	0	0
episodes	0	0
)	0	0
# New sentence = ' '' Bosson '' '	0	
'	0	0
''	0	0
Bosson	1	1
''	0	0
'	0	0
# New sentence = Darker than Black	0	
Darker	0	0
than	0	0
Black	0	0
# New sentence = Neal Tiemann , lead guitarist in David Cook 's band	0	
Neal	1	1
Tiemann	2	2
,	0	0
lead	0	0
guitarist	0	0
in	0	0
David	1	1
Cook	2	2
's	0	0
band	0	0
# New sentence = He was the son of William Edward Tomline and grandson of George Pretyman Tomline .	0	
He	0	0
was	0	0
the	0	0
son	0	0
of	0	0
William	1	1
Edward	2	2
Tomline	2	2
and	0	0
grandson	0	0
of	0	0
George	1	1
Pretyman	2	2
Tomline	2	2
.	0	0
# New sentence = Over ( Drake song )	0	
Over	0	0
(	0	0
Drake	1	1
song	0	0
)	0	0
# New sentence = Rachael Ray ( TV series )	0	
Rachael	1	1
Ray	2	2
(	0	0
TV	0	0
series	0	0
)	0	0
# New sentence = 239 Rayne , Louisiana $ 12,588	0	
239	0	5
Rayne	5	6
,	0	0
Louisiana	5	5
$	0	0
12,588	0	0
# New sentence = It is found in Surinam , Panama , French Guiana , Venezuela , Brazil and Colombia .	0	
It	0	0
is	0	0
found	0	0
in	0	0
Surinam	5	5
,	0	0
Panama	5	5
,	0	0
French	5	5
Guiana	6	6
,	0	0
Venezuela	5	5
,	0	0
Brazil	5	5
and	0	0
Colombia	5	5
.	0	0
# New sentence = His younger brother was Edmund de la Pole .	0	
His	0	0
younger	0	0
brother	0	0
was	0	0
Edmund	1	1
de	2	2
la	2	2
Pole	2	2
.	0	0
# New sentence = It is found only in Angola .	0	
It	0	0
is	0	0
found	0	0
only	0	0
in	0	0
Angola	5	5
.	0	0
# New sentence = ''Drama '' ( Bitter : Sweet album ) , 2008	0	
''Drama	0	0
''	0	0
(	0	0
Bitter	3	3
:	4	4
Sweet	4	4
album	0	0
)	0	0
,	0	0
2008	0	0
# New sentence = '' The Wander-ground '' , Sally Miller Gearhart ( 1978 )	0	
''	0	0
The	0	0
Wander-ground	0	0
''	0	0
,	0	0
Sally	1	1
Miller	2	2
Gearhart	2	2
(	0	0
1978	0	0
)	0	0
# New sentence = The École des mines d'Alès	0	
The	0	0
École	0	5
des	0	6
mines	0	6
d'Alès	0	6
# New sentence = Extravadanses in Castres in July .	0	
Extravadanses	0	0
in	0	0
Castres	5	5
in	0	0
July	0	0
.	0	0
# New sentence = California Society of Municipal Finance Officers ( CSMFO )	0	
California	3	3
Society	4	4
of	4	4
Municipal	4	4
Finance	4	4
Officers	4	4
(	0	4
CSMFO	4	4
)	0	4
# New sentence = Arizona United SC	0	
Arizona	3	3
United	4	4
SC	4	4
# New sentence = R. N. Sudarshan in Guest Appearance	0	
R.	1	1
N.	2	2
Sudarshan	2	2
in	0	0
Guest	0	0
Appearance	0	0
# New sentence = ' '' USM Alger '' '	0	
'	0	0
''	0	0
USM	3	3
Alger	4	4
''	0	0
'	0	0
# New sentence = ** '' Acrobasis craterantis '' ( Meyrick , 1933 )	0	
**	0	0
''	0	0
Acrobasis	0	0
craterantis	0	0
''	0	0
(	0	0
Meyrick	1	1
,	0	0
1933	0	0
)	0	0
# New sentence = He was one of the founders and leaders of the United Gold Coast Convention ( UGCC ) known as `` The Big Six '' .	0	
He	0	0
was	0	0
one	0	0
of	0	0
the	0	0
founders	0	0
and	0	0
leaders	0	0
of	0	0
the	3	0
United	4	3
Gold	4	4
Coast	4	4
Convention	4	4
(	0	4
UGCC	4	4
)	0	4
known	0	0
as	0	0
``	0	0
The	0	3
Big	0	4
Six	0	4
''	0	0
.	0	0
# New sentence = It is found in Costa Rica .	0	
It	0	0
is	0	0
found	0	0
in	0	0
Costa	5	5
Rica	6	6
.	0	0
# New sentence = Seda ( ) , built in the early 20th century , collapsed in 2005	0	
Seda	5	5
(	0	0
)	0	0
,	0	0
built	0	0
in	0	0
the	0	0
early	0	0
20th	0	0
century	0	0
,	0	0
collapsed	0	0
in	0	0
2005	0	0
# New sentence = Holy Wars ... The Punishment Due	0	
Holy	0	0
Wars	0	0
...	0	0
The	0	0
Punishment	0	0
Due	0	0
# New sentence = Quentin N. Burdick ( D )	0	
Quentin	1	1
N.	2	2
Burdick	2	2
(	0	0
D	0	3
)	0	0
# New sentence = '' A Rose Is Still a Rose ''	0	
''	0	0
A	0	0
Rose	0	0
Is	0	0
Still	0	0
a	0	0
Rose	0	0
''	0	0
# New sentence = Gallatin National Forest ( part )	0	
Gallatin	5	5
National	6	6
Forest	6	6
(	0	0
part	0	0
)	0	0
# New sentence = It is currently published by Fairfax Media .	0	
It	0	0
is	0	0
currently	0	0
published	0	0
by	0	0
Fairfax	3	3
Media	4	4
.	0	0
# New sentence = ** '' Guardians of the Galaxy : Awesome Mix : Vol. 1 ''	0	
**	0	0
''	0	0
Guardians	0	0
of	0	0
the	0	0
Galaxy	0	0
:	0	0
Awesome	0	0
